
10000000 0.021343
12500000 0.026644
15000000 0.032028
17500000 0.03749
20000000 0.043098
22500000 0.048277
25000000 0.053546
27500000 0.058974
30000000 0.064557
32500000 0.069161
35000000 0.075401
37500000 0.078428
40000000 0.086197
42500000 0.090643
45000000 0.096485
47500000 0.101596
50000000 0.10725
52500000 0.11169
55000000 0.116366
57500000 0.123383
60000000 0.129225
62500000 0.132048
65000000 0.136529
67500000 0.142539
70000000 0.147977
72500000 0.15493
75000000 0.160029
77500000 0.165342
80000000 0.169801
82500000 0.176977
85000000 0.180254
87500000 0.185895
90000000 0.190092
92500000 0.198014
95000000 0.201203
97500000 0.209262
100000000 0.215845
