
20 783
21 1001
22 1516
23 1868
24 2185
25 2198
26 2645
27 3548
28 4309
29 5082
30 6026
31 7313
32 8837
33 10981
34 12698
35 14749
36 17970
37 21181
38 24884
39 30206
40 34479
41 40561
42 48470
43 55723
44 64503
45 75220
46 88655
47 108865
48 121772
49 135107
50 157084
51 187266
52 210750
53 231625
54 260556
55 281940
56 304264
57 338786
58 376307
59 415497
60 461620
61 516701
62 570216
63 624178
64 705090
65 774314
66 850129
67 936089
68 1.03322e+06
69 1.14189e+06
70 1.28014e+06
71 1.39338e+06
72 1.52741e+06
73 1.64904e+06
74 1.79794e+06
75 1.99203e+06
76 2.17365e+06
77 2.39144e+06
78 2.62484e+06
79 2.90233e+06
80 3.18032e+06
81 3.40205e+06
82 3.71983e+06
83 4.10181e+06
84 4.44559e+06
85 4.85812e+06
86 5.26896e+06
87 5.81258e+06
88 6.24854e+06
89 6.80708e+06
90 7.57383e+06
91 8.10759e+06
92 8.78435e+06
93 9.43011e+06
94 1.01926e+07
95 1.10823e+07
96 1.20759e+07
97 1.31205e+07
98 1.42405e+07
99 1.53747e+07
100 1.66569e+07
